countrynewwb;codewb;year;pop_adult;regionwb;incomegroup;group;group2;account;fiaccount;mobileaccount;borrow_money;dig_acc;saved fo old age;borrowed from fam and fri;envio remesa nacional;recibio_remesa_nacional;recibio_remesa_digital;recibio_transferencia_gobierno;recibio_pension_publica;retiro_dinero_cuenta;cuenta_inactiva;pagos_comercio_digital;ahorro_total
Venezuela, RB;VEN;2014;21274157;Latin America & Caribbean (excluding high income);Upper middle income;all;all;570263255;568573446;0.029790692;377614823;NA;NA;15679262;NA;NA;NA;30341195;NA;214721925;4425007;NA;471546123
Argentina;ARG;2017;33036043;Latin America & Caribbean (excluding high income);Upper middle income;all;all;487084867;479166929;0.024161674;374963502;NA;NA;157205063;NA;NA;NA;148188638;0.06544387;239685706;25978911;NA;303145401
Bolivia;BOL;2017;7571421;Latin America & Caribbean (excluding high income);Lower middle income;all;all;544050565;512075036;0.071193898;446405037;NA;NA;266939398;NA;NA;NA;172202843;0.047253578;71641762;62593639;NA;548286948
Brazil;BRA;2017;158478074;Latin America & Caribbean (excluding high income);Upper middle income;all;all;700439481;700439481;0.048365306;399820661;NA;NA;13725133;NA;NA;NA;187489331;0.057408145;270289117;66617769;NA;324947305
Canada;CAN;2017;30253020;High income;High income;all;all;997268802;997268802;NA;881948607;NA;NA;139494341;NA;NA;NA;328483732;0.243180666;825848143;11731949;NA;800662789
Chile;CHL;2017;14675996;High income;High income;all;all;743492432;738367048;0.18670815;453709515;NA;NA;151834934;NA;NA;NA;223743088;0.140680162;298468119;37231122;NA;491767373
Colombia;COL;2017;36092425;Latin America & Caribbean (excluding high income);Upper middle income;all;all;457592285;448889825;0.047374512;412988194;NA;NA;204990477;NA;NA;NA;130052558;0.032355046;139101502;45563429;NA;387593566
Costa Rica;CRI;2017;3790388;Latin America & Caribbean (excluding high income);Upper middle income;all;all;678383576;678383576;NA;355600181;NA;NA;148070232;NA;NA;NA;131099334;0.108249513;138784393;37191446;NA;578432168
Dominican Republic;DOM;2017;7508555;Latin America & Caribbean (excluding high income);Upper middle income;all;all;56239191;547829503;0.038946795;511251833;NA;NA;192973032;NA;NA;NA;131388145;0.051799881;164281014;50233622;NA;518903013
Ecuador;ECU;2017;11800828;Latin America & Caribbean (excluding high income);Upper middle income;all;all;512460172;508677729;0.029369748;319297881;NA;NA;132142788;NA;NA;NA;67086323;0.052724424;86624406;8085593;NA;339095435
El Salvador;SLV;2017;4464670;Latin America & Caribbean (excluding high income);Lower middle income;all;all;303529471;293357529;0.035496148;225940794;NA;NA;98154042;NA;NA;NA;87023935;0.039259821;56562651;31091195;NA;379338648
Guatemala;GTM;2017;10430246;Latin America & Caribbean (excluding high income);Upper middle income;all;all;441070072;435352906;0.02126406;324034596;NA;NA;130745962;NA;NA;NA;55930795;0.032504662;65869333;48103798;NA;422554591
Haiti;HTI;2017;7048972;Latin America & Caribbean (excluding high income);Lower middle income;all;all;326211865;281889494;0.135171894;39689112;NA;NA;213402784;NA;NA;NA;64733993;0.040398356;68872818;31334905;NA;440518054
Honduras;HND;2017;6185475;Latin America & Caribbean (excluding high income);Lower middle income;all;all;453429696;429444273;0.061960126;336468365;NA;NA;148615325;NA;NA;NA;83249309;0.025962601;45199165;47574567;NA;417197394
Mexico;MEX;2017;88534114;Latin America & Caribbean (excluding high income);Upper middle income;all;all;360417667;346219739;0.053232777;314576688;NA;NA;139063931;NA;NA;NA;125879299;0.044947148;91883324;31995963;NA;398746185
Nicaragua;NIC;2017;4249427;Latin America & Caribbean (excluding high income);Lower middle income;all;all;308619915;28432834;0.039274168;297101975;NA;NA;102430197;NA;NA;NA;9536498;0.042039903;49359996;34192903;NA;447766843
Panama;PAN;2017;2915245;High income;High income;all;all;464942617;4582204;0.035031686;308443233;NA;NA;103978733;NA;NA;NA;183491719;0.068863978;79997319;46260583;NA;483871922
Paraguay;PRY;2017;4382299;Latin America & Caribbean (excluding high income);Upper middle income;all;all;486468607;310738919;0.28881767;357201593;NA;NA;191052888;NA;NA;NA;86290624;0.071986791;65516065;17091304;NA;270956266
Peru;PER;2017;22473210;Latin America & Caribbean (excluding high income);Upper middle income;all;all;42603181;4219042;0.026341662;364527543;NA;NA;159541221;NA;NA;NA;61466338;0.058184297;115735704;37841364;NA;401446681
United States;USA;2017;261470917;High income;High income;all;all;931221843;931221843;NA;774319306;NA;NA;152472906;NA;NA;NA;28406946;0.149879294;656040904;6040759;NA;793441565
Uruguay;URY;2017;2670291;High income;High income;all;all;638680057;638680057;NA;537315594;NA;NA;122755046;NA;NA;NA;193755636;0.101405517;405908513;18538468;NA;37264757
Venezuela, RB;VEN;2017;22179490;Latin America & Caribbean (excluding high income);Upper middle income;all;all;734945071;732206532;0.109703829;443009578;NA;NA;177230633;NA;NA;NA;11248649;0.103871004;288481215;2803581;NA;414886208
Argentina;ARG;2021;34481880;Latin America & Caribbean (excluding high income);Upper middle income;all;all;716270859;663254395;0.350841379;515608246;NA;NA;257154278;0.153977154;0.158478778;0.081517971;150648897;0.074483233;288874348;34925122;0.447122461;387155475
Bolivia;BOL;2021;8150856;Latin America & Caribbean (excluding high income);Lower middle income;all;all;68885446;679649645;0.129542215;481606674;NA;NA;30683147;0.220117195;0.223490539;0.121247072;292106267;0.114479827;126446543;60706642;0.151146733;559949169
Brazil;BRA;2021;165349748;Latin America & Caribbean (excluding high income);Upper middle income;all;all;840357459;835631888;0.269601254;587580753;NA;NA;246500316;0.234869253;0.205482582;0.125661129;298147841;0.108603368;404326749;44460925;0.524152066;462406479
Canada;CAN;2021;31991096;High income;High income;all;all;99634615;99634615;NA;861260296;NA;NA;13996513;NA;NA;NA;30806222;0.248490436;827386135;4344187;NA;781481854
Chile;CHL;2021;15803947;High income;High income;all;all;870620678;870620678;NA;436929411;NA;NA;207117187;0.247831713;0.279167583;0;589199157;0.117017296;242801287;10678779;NA;580881398
Colombia;COL;2021;39661157;Latin America & Caribbean (excluding high income);Upper middle income;all;all;597159079;559431464;0.217662657;482360887;NA;NA;29077988;0.219784778;0.214661669;0.08614037;202012344;0.046322614;132023032;4571033;0.204050296;318990334
Costa Rica;CRI;2021;3990389;Latin America & Caribbean (excluding high income);Upper middle income;all;all;684896898;684896898;NA;377969648;NA;NA;202846511;0.205404941;0.228467232;0;109843547;0.078540672;141169143;52477435;0.38833825;473316623
Dominican Republic;DOM;2021;7960918;Latin America & Caribbean (excluding high income);Upper middle income;all;all;512980113;49546077;0.075716879;450940706;NA;NA;246999263;0.181634892;0.287110142;0.089812101;155401068;0.048440305;106476937;64661719;0.132044126;375190208
Ecuador;ECU;2021;12914981;Latin America & Caribbean (excluding high income);Upper middle income;all;all;641767161;641767161;NA;471014897;NA;NA;287840026;0.161779847;0.209124575;0;91486439;0.052740968;14803912;102270735;0.158736388;3881664
El Salvador;SLV;2021;4592875;Latin America & Caribbean (excluding high income);Lower middle income;all;all;358453551;307094211;0.109182215;298113806;NA;NA;167744756;0.053451067;0.13840217;0.040116441;2328238;0.045781369;36443929;43010322;0.098518571;383514332
Guatemala;GTM;2022;11489738;Latin America & Caribbean (excluding high income);Upper middle income;all;all;369778819;348501939;0.052358035;317083693;NA;NA;222852952;0.059328906;0.11041806;0.042339899;60038695;0.019812852;54957635;4297751;0.08804429;324893888
Honduras;HND;2021;6863097;Latin America & Caribbean (excluding high income);Lower middle income;all;all;378497022;338765086;0.088682307;376905927;NA;NA;260634974;0.119110729;0.194146451;0.071848546;5216026;0.015702642;33207719;2308317;0.095559592;28842809
Jamaica;JAM;2021;2248537;Latin America & Caribbean (excluding high income);Upper middle income;all;all;733003615;72670044;0.126601306;318225033;NA;NA;200144065;0.19414852;0.309437655;0.151757428;84292232;0.061704266;118133786;118186762;0.248539752;634865813
Mexico;MEX;2022;93851214;Latin America & Caribbean (excluding high income);Upper middle income;all;all;489714754;462440813;0.181400816;352231313;NA;NA;196303644;0.132196206;0.161455008;0.103289234;104945111;0.094052148;112280098;29278487;0.292651624;376989492
Nicaragua;NIC;2021;4567953;Latin America & Caribbean (excluding high income);Lower middle income;all;all;260328025;231914224;0.065580785;383077782;NA;NA;237422915;0.086279824;0.191985494;0.075414424;58956677;0.03746613;28865655;17810899;0.067893811;372083806
Panama;PAN;2021;3160275;High income;High income;all;all;449670338;449670338;NA;294497218;NA;NA;175321427;0.165185488;0.212586963;0;190143128;0.07585648;71976784;47752975;NA;377339738
Paraguay;PRY;2021;4679787;Latin America & Caribbean (excluding high income);Upper middle income;all;all;544199771;270838267;0.377008071;348339717;NA;NA;221956243;0.156673366;0.206295463;0.112838167;169975768;0.069544443;32392091;19707634;0.099939892;232211346
Peru;PER;2021;24463530;Latin America & Caribbean (excluding high income);Upper middle income;all;all;574978561;562603056;0.143447853;414520698;NA;NA;233348639;0.215237429;0.248188731;0.130154019;222450049;0.064856873;12897857;44550753;0.218163905;346714084
United States;USA;2021;270549658;High income;High income;all;all;949532296;949532296;NA;761784851;NA;NA;180847606;NA;NA;NA;299224849;0.136657969;66697834;3247739;NA;786137286
Uruguay;URY;2021;2725712;High income;High income;all;all;741272677;741272677;NA;557796344;NA;NA;175915626;NA;NA;NA;240433408;0.083474047;365500322;25438869;NA;378714011
Venezuela, RB;VEN;2021;20527738;Latin America & Caribbean (excluding high income);Upper middle income;all;all;843948009;840336735;0.303109094;439918989;NA;NA;348053928;0.263490013;0.384865715;0.280199739;192311172;0.182038325;185380847;24352493;0.673037447;372801639
Argentina;ARG;2024;35433130;Latin America & Caribbean (excluding high income);Upper middle income;all;all;817442447;728989947;0.567395437;561449707;0.713077048;0.07463454;245174284;0.199600423;0.188690988;0.134780846;139851594;0.093875792;299115063;19509633;0.60193516;480497543
Belize;BLZ;2024;300138;Latin America & Caribbean (excluding high income);Upper middle income;all;all;679682002;673044577;0.136663451;537604075;0.430544838;0.117340604;26706771;0.247198421;0.327317168;0.163275934;13870695;0.080603463;149108463;29015419;0.246566417;686825938
Bolivia;BOL;2024;8553476;Latin America & Caribbean (excluding high income);Lower middle income;all;all;568490527;534880593;0.199779285;480868961;0.336954429;0.062907332;208429683;0.187313857;0.202510028;0.119694674;104813775;0.046444262;113239997;41754349;0.204834314;510745411
Brazil;BRA;2024;169047814;Latin America & Caribbean (excluding high income);Upper middle income;all;all;863811782;855727692;0.581666157;636074463;0.708414919;0.101243828;155611073;0.209100871;0.150165866;0.11768086;199138396;0.063474101;435335243;11889925;0.601459364;467473184
Colombia;COL;2024;41544122;Latin America & Caribbean (excluding high income);Upper middle income;all;all;570594856;433789765;0.391465593;463127912;0.460045598;0.026244105;19383612;0.178246817;0.197209653;0.115924509;115692726;0.037681839;87042402;25181719;0.261228867;346988984
Costa Rica;CRI;2024;4118576;Latin America & Caribbean (excluding high income);Upper middle income;all;all;713527071;713527071;NA;37723028;0.575572693;0.119750325;165396204;0.170317094;0.214249436;0.148330266;85286614;0.121278042;157940527;27977815;0.472497218;512792398
Dominican Republic;DOM;2024;8281568;Latin America & Caribbean (excluding high income);Upper middle income;all;all;647779639;632920319;0.180158284;637816786;0.417732053;0.103972903;248568311;0.292553969;0.398907912;0.16968564;226715598;0.047580053;213919138;29919282;0.276283979;521282723
Ecuador;ECU;2024;13484219;Latin America & Caribbean (excluding high income);Upper middle income;all;all;645052104;639477053;0.100848646;479547621;0.383949186;0.070997156;186191017;0.121388913;0.169974077;0.110761408;49702729;0.042347565;144001043;55887836;0.207985967;364317486
El Salvador;SLV;2024;4718943;Latin America & Caribbean (excluding high income);Lower middle income;all;all;434036649;428629057;0.058435819;378835856;0.212981676;0.048666576;130324405;0.072354907;0.181067666;0.055581236;11541585;0.044670672;6930067;39602956;0.099799227;404869331
Guatemala;GTM;2024;12299923;Latin America & Caribbean (excluding high income);Upper middle income;all;all;382819484;375315801;0.03300105;412521779;0.132038886;0.032048829;153305914;0.102594239;0.140175936;0.055272615;31407493;0.025046755;4191664;3205708;0.055416691;339983209
Honduras;HND;2024;7345357;Latin America & Caribbean (excluding high income);Lower middle income;all;all;424429707;39273054;0.108892565;494050304;0.228849199;0.056517586;198561042;0.136319107;0.228364704;0.110669504;39300886;0.025937519;40528203;32669123;0.09935309;41240363
Mexico;MEX;2024;97411242;Latin America & Caribbean (excluding high income);Upper middle income;all;all;530320833;52389107;0.104373885;415319758;0.344182396;0.061393811;170857247;0.118846315;0.141503486;0.07172481;12801205;0.087125743;141625179;30190921;0.259512003;483414026
Nicaragua;NIC;2024;4830854;Latin America & Caribbean (excluding high income);Lower middle income;all;all;234705927;215052816;0.080878133;4346888;0.145828772;0.017401959;176564937;0.123294614;0.160727823;0.067520168;37273986;0.025862613;37653702;20021825;0.055065254;378948633
Panama;PAN;2024;3331755;High income;High income;all;all;640952131;608679812;0.380533533;473019933;0.490105705;0.081184637;226212529;0.219028488;0.230684457;0.129544615;813052;0.054494228;127199469;27797143;0.362395048;490482213
Paraguay;PRY;2024;4874331;Latin America & Caribbean (excluding high income);Upper middle income;all;all;60916761;455472583;0.359483793;548079286;0.472629972;0.054752665;229663951;0.267057826;0.270330667;0.194540241;96636201;0.070343357;99396754;6044671;0.259603519;375033203
Peru;PER;2024;25601447;Latin America & Caribbean (excluding high income);Upper middle income;all;all;593098978;498244622;0.42497337;473391315;0.479470402;0.085439382;208022853;0.200597765;0.213936228;0.116475863;60133121;0.045076446;126489603;25231951;0.327198228;439908105
Venezuela, RB;VEN;2024;20899114;Latin America & Caribbean (excluding high income);Upper middle income;all;all;873184628;863742959;0.337396759;620719224;0.811894222;0.041461319;256365272;0.295535742;0.358010076;0.255581388;216065765;0.214582107;160967943;29111363;0.715578338;520095215
Argentina;ARG;2014;31872846;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;494589612;494589612;NA;377657366;NA;NA;;NA;NA;NA;76195171;NA;283401297;;NA;254871162
Argentina;ARG;2014;31872846;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;508523585;508523585;NA;301006888;NA;NA;;NA;NA;NA;207389618;NA;250102649;;NA;210568129
Belize;BLZ;2014;228016;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;44086194;44086194;NA;539489419;NA;NA;327107829;NA;NA;NA;133969025;NA;117363992;;NA;559891299
Belize;BLZ;2014;228016;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;522849368;522849368;NA;563770276;NA;NA;304261963;NA;NA;NA;13772765;NA;9709622;;NA;629864593
Bolivia;BOL;2014;7120716;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;457563295;439727663;NA;398252886;NA;NA;158329806;NA;NA;NA;14484926;NA;;;NA;689548873
Bolivia;BOL;2014;7120716;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;380391015;376152761;NA;344260008;NA;NA;106536273;NA;NA;NA;252446504;NA;;;NA;601718308
Brazil;BRA;2014;152293155;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;716884249;716884249;NA;447371607;NA;NA;;NA;NA;NA;98155315;NA;381315955;;NA;315391601
Brazil;BRA;2014;152293155;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;647733124;647733124;NA;360795377;NA;NA;;NA;NA;NA;199032168;NA;263356437;;NA;246209151
Canada;CAN;2014;29372810;High income;High income;gender;men;990032074;990032074;NA;868631122;NA;NA;173317259;NA;NA;NA;320226845;NA;785741014;;NA;849531587
Canada;CAN;2014;29372810;High income;High income;gender;women;991964837;991964837;NA;833327008;NA;NA;168340386;NA;NA;NA;383316951;NA;75679014;;NA;796570628
Chile;CHL;2014;14064832;High income;High income;gender;men;67817598;67817598;NA;429227581;NA;NA;;NA;NA;NA;111097625;NA;283440036;;NA;409059368
Chile;CHL;2014;14064832;High income;High income;gender;women;591644525;590731105;NA;369743776;NA;NA;;NA;NA;NA;251901559;NA;278615158;;NA;314978674
Colombia;COL;2014;34309704;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;444218408;434798354;NA;48810715;NA;NA;196711342;NA;NA;NA;;NA;171413066;;NA;479275712
Colombia;COL;2014;34309704;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;339536618;335836819;NA;378589006;NA;NA;123381555;NA;NA;NA;;NA;105282671;;NA;400820599
Costa Rica;CRI;2014;3611461;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;692236064;692236064;NA;485089042;NA;NA;140470636;NA;NA;NA;;NA;171980506;;NA;657721706
Costa Rica;CRI;2014;3611461;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;602397246;602397246;NA;401468821;NA;NA;145987831;NA;NA;NA;;NA;119886505;;NA;534414304
Dominican Republic;DOM;2014;7152325;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;521929486;521200372;NA;585917467;NA;NA;24519545;NA;NA;NA;93836583;NA;105740091;;NA;59182246
Dominican Republic;DOM;2014;7152325;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;55950611;558149763;NA;531858341;NA;NA;198467523;NA;NA;NA;156251947;NA;111705367;;NA;553726517
Ecuador;ECU;2014;11054660;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;518686122;518686122;NA;251667255;NA;NA;;NA;NA;NA;;NA;;;NA;33382399
Ecuador;ECU;2014;11054660;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;408229819;408229819;NA;26084449;NA;NA;;NA;NA;NA;;NA;;;NA;308481157
El Salvador;SLV;2014;4304307;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;418710269;402842648;NA;494978318;NA;NA;135491154;NA;NA;NA;15599697;NA;;;NA;609822794
El Salvador;SLV;2014;4304307;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;319069294;293564508;NA;420842232;NA;NA;112555505;NA;NA;NA;179150456;NA;;;NA;543249776
Guatemala;GTM;2014;9616393;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;487564216;477157353;NA;475197077;NA;NA;214712512;NA;NA;NA;;NA;;;NA;603074861
Guatemala;GTM;2014;9616393;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;346949275;345620271;NA;431315399;NA;NA;17802827;NA;NA;NA;;NA;;;NA;516467305
Haiti;HTI;2014;6636287;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;216837986;208688099;NA;470582283;NA;NA;268855807;NA;NA;NA;;NA;;;NA;442410031
Haiti;HTI;2014;6636287;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;161192256;142256626;NA;48238315;NA;NA;27113304;NA;NA;NA;;NA;;;NA;453949038
Honduras;HND;2014;5672647;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;360899804;353887425;NA;467678196;NA;NA;20228851;NA;NA;NA;;NA;;;NA;42019122
Honduras;HND;2014;5672647;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;27033494;248736072;NA;395363257;NA;NA;164367851;NA;NA;NA;;NA;;;NA;374197371
Jamaica;JAM;2014;2096466;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;791964433;791964433;NA;584663533;NA;NA;359078415;NA;NA;NA;84435537;NA;187255017;113512367;NA;78010611
Jamaica;JAM;2014;2096466;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;777620201;775439234;NA;401530573;NA;NA;236274739;NA;NA;NA;143141055;NA;91179832;14877833;NA;707504997
Mexico;MEX;2014;84399247;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;394000761;385370173;NA;563642439;NA;NA;290050135;NA;NA;NA;174439585;NA;216274379;;NA;629022794
Mexico;MEX;2014;84399247;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;388981843;388435525;NA;499083267;NA;NA;232482432;NA;NA;NA;186339409;NA;142747081;;NA;541508748
Nicaragua;NIC;2014;4012287;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;247133978;238998609;NA;472789482;NA;NA;214220759;NA;NA;NA;;NA;;;NA;545935955
Nicaragua;NIC;2014;4012287;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;144263241;140610542;NA;391071396;NA;NA;122747994;NA;NA;NA;;NA;;;NA;482877975
Panama;PAN;2014;2737867;High income;High income;gender;men;47018843;465730896;NA;524637608;NA;NA;234660495;NA;NA;NA;117730871;NA;;;NA;627397928
Panama;PAN;2014;2737867;High income;High income;gender;women;403293732;402566194;NA;485353713;NA;NA;217643521;NA;NA;NA;121948098;NA;;;NA;6223512
Peru;PER;2014;21413567;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;356586544;356586544;NA;315465929;NA;NA;94160569;NA;NA;NA;;NA;136061452;;NA;425189441
Peru;PER;2014;21413567;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;224969735;224969735;NA;329200905;NA;NA;114217349;NA;NA;NA;;NA;97676399;;NA;362140041
Puerto Rico;PRI;2014;2955855;High income;High income;gender;men;737037716;737037716;NA;39693142;NA;NA;98840545;NA;NA;NA;133716654;NA;27886433;;NA;489145103
Puerto Rico;PRI;2014;2955855;High income;High income;gender;women;660932529;660932529;NA;367198258;NA;NA;115580437;NA;NA;NA;15851861;NA;203190094;;NA;399105259
United States;USA;2014;254715188;High income;High income;gender;men;923612617;923612617;NA;750333674;NA;NA;200488471;NA;NA;NA;203092676;NA;587083034;;NA;783215455
United States;USA;2014;254715188;High income;High income;gender;women;947977102;947977102;NA;797000698;NA;NA;195769614;NA;NA;NA;264473226;NA;615471552;;NA;729765261
Uruguay;URY;2014;2625287;High income;High income;gender;men;505615596;500659662;NA;559398449;NA;NA;;NA;NA;NA;92854687;NA;408680068;;NA;423810682
Uruguay;URY;2014;2625287;High income;High income;gender;women;412656145;412656145;NA;552301906;NA;NA;;NA;NA;NA;181002121;NA;388851773;;NA;351674384
Venezuela, RB;VEN;2014;21274157;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;611089112;607568877;NA;39846247;NA;NA;177806852;NA;NA;NA;;NA;237358209;;NA;488061904
Venezuela, RB;VEN;2014;21274157;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;532573685;532573685;NA;358368715;NA;NA;137392723;NA;NA;NA;;NA;193824584;;NA;456299102
Argentina;ARG;2017;33036043;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;464663784;454294956;NA;374124673;NA;NA;152568089;NA;NA;NA;103192339;NA;264261768;;NA;356226659
Argentina;ARG;2017;33036043;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;507572522;501894126;NA;375729997;NA;NA;161442179;NA;NA;NA;189304789;NA;217228901;;NA;254641478
Bolivia;BOL;2017;7571421;Latin America & Caribbean (excluding high income);Lower middle income;gender;men;549843919;510872416;NA;431741348;NA;NA;259209336;NA;NA;NA;166107001;NA;;;NA;574486991
Bolivia;BOL;2017;7571421;Latin America & Caribbean (excluding high income);Lower middle income;gender;women;538528341;513221373;NA;460382463;NA;NA;274307692;NA;NA;NA;178013399;NA;;;NA;52331307
Brazil;BRA;2017;158478074;Latin America & Caribbean (excluding high income);Upper middle income;gender;men;728475444;728475444;NA;452153345;NA;NA;163782723;NA;NA;NA;132940696;NA;326472613;;NA;396106459
Brazil;BRA;2017;158478074;Latin America & Caribbean (excluding high income);Upper middle income;gender;women;675146495;675146495;NA;352608091;NA;NA;11331571;NA;NA;NA;236701048;NA;21960249;;NA;260750207
Canada;CAN;2017;30253020;High income;High income;gender;men;995923036;995923036;NA;875905957;NA;NA;149289015;NA;NA;NA;308560853;0.22117543;814469953;;NA;81679639
